alfa2,cidade,regiao,populacao,latitude,longitude
ad,andorra la vella,07,20430.0,42.5,1.5166667
ad,canillo,02,3292.0,42.5666667,1.6
ad,encamp,03,11224.0,42.533333299999995,1.5833333
ad,la massana,04,7211.0,42.55,1.5166667
ad,les escaldes,08,15854.0,42.5,1.5333333
ad,ordino,05,2553.0,42.55,1.5333333
ad,sant julia de loria,06,8020.0,42.466666700000005,1.5
ae,abu dhabi,01,603687.0,24.466667,54.36666700000001
ae,dubai,03,1137376.0,25.258172000000002,55.304717000000004
ae,sharjah,06,543942.0,25.357310000000002,55.403304000000006
af,achu,08,,33.057654,67.982138
af,acin,18,15098.0,34.082481,70.668152
af,alekowzi,23,,32.037015999999994,65.786875
af,amrode sufla,05,,34.198303,66.955414
af,anar darreh,06,10023.0,32.758697999999995,61.653969
af,andarab,03,27034.0,35.633484,69.260195
af,arabkheyl',36,,33.65147,69.291336
af,asadabad,34,48400.0,34.873113000000004,71.14697
af,asmar,34,15708.0,35.033328000000004,71.358087
af,aybak,32,47877.0,36.26468,68.015512
af,azrow,17,12526.0,34.173553000000005,69.645728
af,baba ghumbakay,40,,34.789398,69.49728
af,baglan,03,108481.0,36.130684,68.708286
af,bagrami,13,30256.0,34.493761,69.274274
af,baluc kalay,28,,31.866838,66.879111
af,bangisht,36,,33.809517,69.87732700000001
af,baraki barak,17,22305.0,33.9675,68.948611
af,baray kalay,23,,31.66321,67.234011
af,baz mohammad kelay,23,,31.085293,66.534261
af,braga kala,27,,34.363056,68.662222
af,bulagh,27,,34.056667,68.425
af,buzin,01,,38.335531,70.873211
af,cah ab,26,23424.0,37.397734,69.814644
af,carikar,40,53693.0,35.016585,69.174011
af,chah aw,09,,34.556381,64.901909
af,china,27,,34.012221999999994,68.344444
af,chini-kala,18,,34.291443,70.822144
af,chutor,38,,35.313583,70.20105699999999
af,ciras,33,12778.0,35.416737,65.982341
af,dahak,09,,34.214787,64.174013
af,dahane khoshkak,41,,33.979093,66.139876
af,dawlatabad,07,13603.0,36.432589,64.920713
af,dawlatabad,30,17674.0,36.98782,66.82066
af,dawzi,28,,32.641295,66.73759
af,deh-e `ali beyg,11,,33.36804,62.240339
af,deh mazang,19,,31.963503000000003,63.133621
af,deh rawud,39,25683.0,32.624131,65.459659
af,dowmoli pa'in,06,,31.554687,61.490665
af,dowran kheyl,13,,34.396048,69.423994
af,eshkari,08,,33.20152,67.449934
af,eskasem,01,12120.0,36.706932,71.570658
af,farah,06,43574.0,32.374508,62.116383
af,gandab,27,,34.327852,68.07994599999999
af,gardan diwal,27,6815.0,34.508977,68.260739
af,gardez,36,103732.0,33.597439,69.225922
af,gardo,39,,32.795852000000004,66.64038000000001
af,garmak,27,,34.429712,68.493277
af,gazni,08,143049.0,33.550833000000004,68.4225
af,gerdaw,23,,31.451615000000004,67.227
af,geresk,10,43638.0,31.820894,64.570048
af,godul,08,,33.663892,67.966285
af,hajji mirza khan kalay,10,,31.73777,64.46735600000001
af,hajmir,13,,34.534444,68.98916700000001
af,herat,11,272880.0,34.348167,62.199673
af,jalalabad,18,200389.0,34.426468,70.45153
af,jalowkheyl,14,,34.885906,69.640785
af,jambogha,32,,35.861225,67.278143
af,jelgah,28,,31.948424,67.874155
af,jumjumah,08,,32.830936,67.794785
af,jurm,01,12121.0,36.864768,70.83420699999999
af,kabul,13,3043589.0,34.516667,69.18333299999999
af,kala-bakhadurkhan,13,,34.476667,69.098611
af,kawshi,09,,33.744337,64.749686
af,kechelay,34,,35.029683,71.48788
af,khalifeh anvar kowr,10,,31.697531,64.39388199999999
af,kholm,30,64954.0,36.697362,67.698255
af,khoshk darreh,41,,33.908889,66.58444399999999
af,khowst,37,96246.0,33.339512,69.92041
af,khwajah nur,32,,36.025389000000004,68.229888
af,khwajamuzdan,11,,34.468824,63.914322999999996
af,kochah ariq,32,,36.099421,67.224954
af,kotah-ye `ashro,27,,34.448333,68.794722
af,kuhestan,11,12087.0,34.653889,61.197778
af,kulah tan,38,,35.100056,70.53315
af,kusk,11,16952.0,33.29565,61.952206000000004
af,ladu,05,,34.303362,67.477451
af,laghawat,08,,33.463287,68.536957
af,lar gerd,33,11635.0,35.489360999999995,66.664088
af,l'varkalay,23,,31.179954,66.51576800000001
af,mar kajay,09,,34.573467,66.244225
af,mazar,33,,36.342698,66.162487
af,mehtar lam,35,17350.0,34.671389000000005,70.20944399999999
af,mirabad,19,14160.0,30.436244,61.838304
af,mirza bagh,18,,34.139476,70.239032
af,mullalivar,08,,33.134629,67.59451899999999
af,nahrin,03,22389.0,36.064904,69.13343
af,necalam,35,,34.831556,69.97151
af,nuristan,38,17072.0,34.95,70.4
af,`olum-e sofla,28,,32.948929,67.33665699999999
af,orgun,29,10665.0,32.901111,69.152798
af,pagman,13,49173.0,34.5875,68.953333
af,panjab,05,13471.0,34.387949,67.023273
af,panjmiran,11,,34.277775,63.02316999999999
af,panur,41,,33.669757000000004,65.696412
af,poshbar,11,,34.314582,62.927806000000004
af,putakaye `ulya,23,,31.390579,66.125904
af,qal`ah-ye `abbas khan,30,,36.7225,67.001944
af,qal`ah-ye bahram ud din,13,,34.481316,69.278082
af,qal`a-i-zardijoy,27,,34.332353999999995,67.753886
af,qal`a,03,,35.805457000000004,69.567334
af,qal`eh-ye baqer,27,,34.459167,68.612222
af,qal`eh-ye jangal,09,,34.374348,65.942894
af,qal`eh-ye mohammad `azizkhan,13,,34.398610999999995,69.1825
af,qal`eh-ye rostam,17,,33.803889,68.929722
af,qandahar,23,391230.0,31.613322999999998,65.710126
af,qarchi gak,30,8942.0,37.039988,66.788912
af,qarqin,31,15023.0,37.404464000000004,66.074375
af,qaryeh-ye gharmeh,02,,34.791219,64.134991
af,qaryeh-ye malek,17,,33.929444000000004,68.936944
af,qazikheyl,13,,34.563255,68.960341
af,qunduz,24,161943.0,36.728955,68.857001
af,ranah tazay,29,,32.767517,69.013855
af,rayzak,05,,34.085723,67.068678
af,razvaliny shakhri-timur,41,,34.10396,65.603267
af,robate beland,06,,33.103889,63.97290600000001
af,rostaq,26,25644.0,37.126034999999995,69.83045
af,rudbar,19,11034.0,30.15,62.6
af,sada,11,,34.397377,61.662946999999996
af,safed sang,08,,33.498611,68.01138900000001
af,sahrak,09,15967.0,34.107375,64.305199
af,sangin,10,13579.0,32.072752,64.835903
